year,외국인
2010-01,30197
2010-02,45445
2010-03,43923
2010-04,70029
2010-05,77881
2010-06,69631
2010-07,78914
2010-08,95752
2010-09,75337
2010-10,86257
2010-11,54819
2010-12,48815
2011-01,23714
2011-02,33519
2011-03,46819
2011-04,69257
2011-05,79044
2011-06,87464
2011-07,122041
2011-08,140217
2011-09,127168
2011-10,128903
2011-11,96305
2011-12,91186
2012-01,74956
2012-02,53554
2012-03,81689
2012-04,141475
2012-05,152385
2012-06,165576
2012-07,219538
2012-08,224623
2012-09,160204
2012-10,188834
2012-11,114209
2012-12,104356
2013-01,70479
2013-02,103860
2013-03,111208
2013-04,199954
2013-05,174348
2013-06,235567
2013-07,348768
2013-08,394503
2013-09,264750
2013-10,199598
2013-11,118741
2013-12,112072
2014-01,99451
2014-02,136342
2014-03,171359
2014-04,304245
2014-05,291813
2014-06,325154
2014-07,420161
2014-08,478273
2014-09,338717
2014-10,341516
2014-11,223476
2014-12,197809
2015-01,135676
2015-02,216016
2015-03,208509
2015-04,320711
2015-05,304450
2015-06,181013
2015-07,82688
2015-08,213773
2015-09,261473
2015-10,306713
2015-11,210505
2015-12,182733
2016-01,165243
2016-02,218568
2016-03,238611
2016-04,302243
2016-05,346756
2016-06,377842
2016-07,399084
2016-08,434856
2016-09,323023
2016-10,336230
2016-11,234513
2016-12,226052
2017-01,215557
2017-02,204242
2017-03,119372
2017-04,96097
2017-05,81055
2017-06,86631
2017-07,93943
2017-08,78380
2017-09,65557
2017-10,69903
2017-11,56645
2017-12,63222
2018-01,57422
2018-02,57046
2018-03,80615
2018-04,86682
2018-05,91071
2018-06,115716
2018-07,114159
2018-08,131772
2018-09,122998
2018-10,135475
2018-11,117564
2018-12,114312
2019-01,106713
2019-02,111927
2019-03,126611
2019-04,139360
2019-05,147807
2019-06,152197
2019-07,152629
2019-08,178323
2019-09,149038
2019-10,167893
2019-11,145783
2019-12,147851
2020-01,145608
2020-02,29229
2020-03,3586
2020-04,1159
2020-05,2486
2020-06,2889
2020-07,4382
2020-08,5998
2020-09,3508
2020-10,5788
2020-11,5331
2020-12,2803
2021-01,2344
2021-02,3056
2021-03,4110
2021-04,4102
2021-05,4084
2021-06,4613
2021-07,4627
2021-08,4376
2021-09,5025
2021-10,3939
2021-11,4297
