구분,상호명,소재지,연락처,1박당가격,숙박인원,url
풀빌라,제주 노을정원온수풀펜션,제주특별자치도 제주시 한경면 금등4길 74-38,0503-5058-6868,304000,2,https://trimg.interpark.com/r/c570388/r/i/0/24/80/F03_GN0002030312_2480b768b3423c450b4605b1787df7ff.jpg
풀빌라,서귀포 팜밸리풀빌라,제주특별자치도 서귀포시 중산간서로 193,0503-5058-7999,106873,6,https://trimg.interpark.com/r/c570388/Product/Housing/Condo/11000068/11000068_01.jpg
풀빌라,서귀포 야자수풀빌라,제주특별자치도 서귀포시 표선면 일주동로5661번길 33,0503-5057-1920,94000,2,https://pix8.agoda.net/property/10576669/0/a9882e4ee7c3f0b6618024e92034a717.jpg
풀빌라,제주 크리스마스풀빌라리조트,제주특별자치도 제주시 구좌읍 해맞이해안로 2030-8,0503-5057-0025,67666,6,https://pix8.agoda.net/hotelImages/642/6428427/6428427_19010909220071168711.jpg
풀빌라,서귀포 제주벨루가 풀빌라,제주특별자치도 서귀포시 대정읍 영락하동로85번길41-1,0503-5058-2265,220000,2,https://ak-d.tripcdn.com/images/220p1e000001fih9y687A_Z_1080_808_R5_D.jpg
호텔,글래드호텔앤리조트(주)메종글래드제주,제주특별자치도 제주시 노연로 80,064-747-5000,202790,2,https://image.tport.io/extranet/properties/122334/5053e6fd-1500-9852-e50d-4b02e6d15b2c-1000.jpg
호텔,롯데시티호텔 제주,제주특별자치도 제주시 도령로 82,064-730-1070,223300,2,https://exp.cdn-hotels.com/hotels/8000000/7510000/7510000/7509936/da0abdf5_z.jpg
호텔,신라스테이제주,제주특별자치도 제주시 노연로 100,064-717-9000,216700,2,https://exp.cdn-hotels.com/hotels/10000000/9690000/9685900/9685862/2973f72c_z.jpg
호텔,㈜교원 스위트호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 67,064-738-3800,194170,2,https://exp.cdn-hotels.com/hotels/3000000/2860000/2854100/2854011/fa3ed6c4_z.jpg
호텔,호텔더본제주,제주특별자치도 서귀포시 색달로 18,064-766-8988,106000,2,https://exp.cdn-hotels.com/hotels/17000000/16450000/16442100/16442088/fe32b4fd_z.jpg
게스트하우스,스완지,제주특별자치도 제주시 서해안로 84,010-0000-0000,70796,2,https://pix8.agoda.net/hotelImages/735/735361/735361_14092512040022394217.jpg
게스트하우스,아모르하우스,제주특별자치도 제주시 구좌읍 해맞이해안로 2060-18,010-0000-0000,43406,2,https://pix8.agoda.net/hotelImages/10552926/-1/cc662b86cd6cf1c9d334e416ead772b7.jpg
게스트하우스,모멘토하우스,제주특별자치도 서귀포시 태평로439번길 21,010-0000-0000,35674,2,https://image.goodchoice.kr/resize_490x348/adimg_new/64273/0/29153e6d32c5ae5757d58a6f8f87c61c.jpg
게스트하우스,서현호스텔,제주특별자치도 서귀포시 천지로 15,010-0000-0000,39493,2,https://ak-d.tripcdn.com/images/0224h1200081dkuwoCF80_Z_1080_808_R5_D.jpg
게스트하우스,미도호스텔,제주특별자치도 서귀포시 동문동로 13-1,010-0000-0000,56222,2,https://pix8.agoda.net/property/16518801/213968194/087fbc37c452416ba5a781a68e10e8d8.jpg
리조트,메가리조트제주,제주특별자치도 제주시 한경면 판포1길 6,064-772-9999,31313,2,https://exp.cdn-hotels.com/hotels/16000000/15540000/15536400/15536379/2d181a06_z.jpg
리조트,한화리조트 제주,제주특별자치도 제주시 명림로 575-107,064-725-9000,133814,2,https://exp.cdn-hotels.com/hotels/8000000/7620000/7617200/7617134/9a80bcc4_z.jpg
리조트,휘닉스 제주 섭지코지,제주특별자치도 서귀포시 성산읍 섭지코지로 107,064-731-7000,159946,2,https://pix8.agoda.net/hotelImages/302/302120/302120_16060912520043325152.jpg
리조트,이랜드파크 켄싱턴리조트 제주한림점,제주특별자치도 제주시 한림읍 한림해안로 530,064-796-9600,120030,2,https://exp.cdn-hotels.com/hotels/15000000/14740000/14736800/14736769/1cb32dce_z.jpg
리조트,해비치리조트,제주특별자치도 서귀포시 표선면 민속해안로 537,064-780-8000,167774,2,https://pix8.agoda.net/hotelImages/693/69369/69369_16102814240048222120.jpg
