section,category,name,location,contact,expense,start time,end time,time,url
액티비티,레이싱,9.81 파크,제주도 제주시 애월읍 천덕로 880-24,010-0000-0000,29500,9:00,17:40,02:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/101144/549339_medium_1608606480.jpg
액티비티,익스트림액티비티,바다하늘 패러글라이딩,제주특별자치도 제주시 한림읍 한창로 1295,010-3692-7345,89000,09:00,18:00,01:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/99321/567337_medium_1622831182.jpg
액티비티,트래킹,위니드제주,제주특별자치도 제주시 조천읍 함와로 566-29 스위스마을 201동 1층,010-0000-0000,30000,19:00,21:00,02:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/100745/547972_medium_1612246218.jpg
액티비티,아웃도어,타이거 탱크 힐링파크,제주시 애월읍 산록서로 18,010-0000-0000,18000,09:00,17:00,00:30,https://d2ur7st6jjikze.cloudfront.net/offer_photos/103260/561635_medium_1617695352.jpg
액티비티,승마,중문승마장,서귀포시 대포동 이어도로 244번지,010-0000-0000,28800,10:00,17:00,00:30,https://d2ur7st6jjikze.cloudfront.net/offer_photos/82509/505653_medium_1587542361.jpg
액티비티,서핑,새마을 서핑운동,제주시 애월읍 곽지1길 34,010-7294-8899,50000,09:00,18:00,02:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/104302/573520_medium_1627209701.jpg
액티비티,요트,김녕요트투어,제주시 구좌읍 김녕리 4212-1,010-0000-0000,47000,10:00,15:30,01:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/40118/521169_medium_1596423177.jpg
액티비티,수상액티비티,서귀포잠수함,제주특별자치도 서귀포시 서홍동 707-5,064-732-6060,56000,09:20,16:00,01:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/6693/157533_medium_1525745354.jpg
액티비티,수상액티비티,케이제주씨워킹,제주특별자치도 서귀포시 대정읍 최남단해안로 120,010-2980-5105,39000,09:00,17:00,01:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/19461/118034_medium_1525756143.jpg
액티비티,수상액티비티,애월스쿠버,제주시 애월읍 애월로13길 45,010-0000-0000,80000,09:00,18:00,01:00,https://d2ur7st6jjikze.cloudfront.net/offer_photos/104299/567784_medium_1623131011.jpg
