course,course-name,distance(km),time,starting-point,end-point,explanation,illustration,map,vmap
01course,시흥-광치기 올레,15.1,05:00,시흥리정류장,광치기해변,"제주올레에서 가장 먼저 열린 길. 오름과 바다가 이어지는 '오름-바당 올레'다. 푸른 들을 지나 말미오름과 알오름에 오르면 성산일출봉과 우도, 조각보를 펼쳐놓은 듯한 들판과 바다가 한눈에 보인다. 검은 돌담을 두른 밭들이 옹기종기 붙어 있는 들판의 모습은 색색의 천을 곱게 기워 붙인 한 장의 조각보처럼 아름답다. 종달리 소금밭을 거쳐 시흥리 해안도로를 지나 수마포 해변에서 다시금 성산일출봉이 눈앞에 펼쳐진다. 길이 끝나는 광치기 해변의 물빛과 이끼 낀 높낮이가 다른 너럭 바위가 신비로움을 자아낸다.",https://www.jejuolle.org/trail/images/mainmap/m_map_c01.png,https://www.jejuolle.org/trail/kor/images/sub_course/sub_map_01.jpg,https://www.jejuolle.org/trail/kor/images/sub_course/sub_vmap_01.jpg
02course,광치기-온평 올레,15.6,05:00,광치기해변,온평포구,"성산리 광치기 해변에서 출발하여 식산봉, 고성, 대수산봉, 혼인지를 지나 온평리 바닷가까지 이어지는 올레. 물빛 고운 바닷길부터 잔잔한 내수면을 낀 들길, 호젓한 산길까지 색다른 매력의 길들이 이어진다. 대수산봉 정상에 서면 시흥부터 광치기 해변까지 아름다운 제주 동부의 풍광이 시원하게 펼쳐진다. 제주 '삼성신화'에 나오는 고,양,부 삼신인이 벽랑국에서 찾아온 세 공주를 맞이하여 혼인식을 치렀다는 혼인지(연못)도 지나게 된다.",https://www.jejuolle.org/trail/images/mainmap/m_map_c02.png,https://www.jejuolle.org/trail/kor/images/sub_course/sub_map_02.jpg,https://www.jejuolle.org/trail/kor/images/sub_course/sub_vmap_02.jpg
03course,온평-표선 올레,20.9,07:00,온평포구,표선해수욕장,"중산간 길의 고즈넉함을 만끽할 수 있는 올레. 양옆에 늘어선 오래된 제주 돌담과 제주에 자생하는 울창한 수목이 운치를 더한다. 나지막하면서 독특한 전망, 통오름과 독자봉이 제주의 오름이 지닌 고유의 멋을 느끼게 해준다. 동백나무길, 감귤밭길 등 삼달리 중산간길이 이어지고 김영갑갤러리 두모악이 나온다. 병마에 시달린 마지막까지도 아름다운 제주의 사진을 찍어냈던 고 김영갑 사진작가의 작품을 만날 수 있다.",https://www.jejuolle.org/trail/images/mainmap/m_map_c03.png,https://www.jejuolle.org/trail/kor/images/sub_course/sub_map_03-A.jpg,https://www.jejuolle.org/trail/kor/images/sub_course/sub_vmap_03-A.jpg
04course,표선-남원 올레,19,06:00,표선해수욕장,남원포구,"눈부신 백사장에서 시작되는 아름다운 해안 올레다. 해녀 탈의장을 지나 바다의 앞부분이 가느다랗다고 하여 이름 붙인 '가는개' 를 건너면 어촌마을 세화2리로 접어든다. 세화2리의 옛 이름, 가마리의 해녀 올레는 ‘세계 최초의 전문직 여성’으로 불리는 제주 해녀들이 바닷가로 오르내리던 길이다. 이어지는 바다 숲길은 제주올레에 의해 35년 만에 복원되었다. 이 길을 만들 때 해병대 장병들이 도와주어서 '해병대길'이라고도 불린다.",https://www.jejuolle.org/trail/images/mainmap/m_map_c04.png,https://www.jejuolle.org/trail/kor/images/sub_course/sub_map_04.jpg,https://www.jejuolle.org/trail/kor/images/sub_course/sub_vmap_04.jpg
05course,남원-쇠소깍 올레,13.4,05:00,남원포구,쇠곡깍다리,"오감을 활짝 열고 걷는 바당올레와 마을 올레다. 남원포구에서 시작해 대한민국에서 가장 아름다운 해안 산책로로 꼽히는 큰엉 경승지 산책길을 지나 민물과 바닷물이 만나는 쇠소깍까지 이어지는 길이다. 키가 훌쩍 큰 동백나무로 울타리를 두른 마을 풍경이 멋스럽다. 남원읍과 해병대 93대대의 도움을 받아 사라지고 묻히고 끊어진 바당올레길 세 곳을 복원했다. 덕분에 난대 식물이 울창한 숲을 지나서 바다로 나가는 특별한 즐거움을 누릴 수 있게 되었다.",https://www.jejuolle.org/trail/images/mainmap/m_map_c05.png,https://www.jejuolle.org/trail/kor/images/sub_course/sub_map_05.jpg,https://www.jejuolle.org/trail/kor/images/sub_course/sub_vmap_05.jpg
06course,쇠소깍-제주올레 여행자센터 올레,11,04:00,쇠소깍다리,제주올레여행자센터,"쇠소깍 다리를 출발하여 서귀포 시내를 통과, 이중섭거리를 거쳐 제주올레 여행자센터까지 이어지는 해안ㆍ도심 올레다. 해안가의 정취를 느낄 수 있는 소금막과 삶과 문화가 숨쉬는 서귀포 시내를 걸으며 서귀포의 문화와 생태를 접할 수 있다. 6코스의 명소라고 꼽기에 손색 없는 서귀포 칼호텔 바당길과 허니문하우스 전망대 길에서 푸른 바다의 파노라마를 즐기면 더할 나위 없다.",https://www.jejuolle.org/trail/images/mainmap/m_map_c06.png,https://www.jejuolle.org/trail/kor/images/sub_course/sub_map_06.jpg,https://www.jejuolle.org/trail/kor/images/sub_course/sub_vmap_06.jpg
07course,제주올레 여행자센터-월평 올레,17.6,06:00,제주올레여행자센터,월평마을 아왜낭목,"제주올레 여행자센터를 출발하여 법환포구를 경유해 월평까지 이어진 해안 올레다. 빼어난 절경으로 아름다운 외돌개와 올레꾼들이 가장 사랑하고 아끼는 자연생태길인 ‘수봉로’를 만날 수 있다. 수봉로는 세 번째 코스 개척 시기였던 때, 올레지기 김수봉 님이 염소가 다니던 길에 직접 삽과 곡괭이만으로 계단과 길을 만들어서 사람이 걸어 다닐 수 있도록 한 길이다. 또한 그동안 너무 험해 갈 수 없었던 '두머니물-서건도' 해안 구간을 제주올레에서 일일이 손으로 돌을 고르는 작업 끝에 새로운 바닷길로 만들어 이어, '일강정 바당 올레'로 명명한 길도 있다.",https://www.jejuolle.org/trail/images/mainmap/m_map_c07.png,https://www.jejuolle.org/trail/kor/images/sub_course/sub_map_07.jpg,https://www.jejuolle.org/trail/kor/images/sub_course/sub_vmap_07.jpg
08course,월평-대평 올레,19.6,06:00,월평아왜낭목쉼터,대평포구,"짙푸른 바다를 따라가는 바당 올레 코스다. 바다에 밀려 내려온 용암이 굳으면서 절경을 빚은 주상절리와 사계절 다른 꽃을 피우는 예래생태공원을 지난다. 종점인 대평리는 자연과 어우러진 여유로움이 가득한 작은 마을로 안덕계곡 끝자락에 바다가 멀리 뻗어나간 넓은 들(드르)이라 하여 ‘난드르’라고 불리는 마을이다. 마을을 품고 있는 군산의 풍경 또한 아름답다.",https://www.jejuolle.org/trail/images/mainmap/m_map_c08.png,https://www.jejuolle.org/trail/kor/images/sub_course/sub_map_08.jpg,https://www.jejuolle.org/trail/kor/images/sub_course/sub_vmap_08.jpg
09course,대평-화순 올레,11.8,04:00,대평포구,화순금모래해수욕장,"작고 정겨운 대평포구에서 시작해 말이 다니던 몰질을 지나 높은 곳에서 아름다운 풍광이 펼쳐지는 군산오름으로 향한다. 천연기념물로 지정되어 우거진 상록수림과 맑은 하천, 군데군데 동굴이 있는 신비로운 안덕계곡으로 이어지는 코스다.",https://www.jejuolle.org/trail/images/mainmap/m_map_c09.png,https://www.jejuolle.org/trail/kor/images/sub_course/sub_map_09.jpg,https://www.jejuolle.org/trail/kor/images/sub_course/sub_vmap_09.jpg
10course,화순-모슬포 올레,15.6,06:00,제주올레공식안내소,하모체육공원,"화순금모래해수욕장에서 시작해 썩은다리와 황우치 해안, 산방연대, 송악산을 지나 대정읍 하모까지 이어지는 해안 올레. 산방산의 위용을 바라보며 걷기 시작하는 길이다. 초반 해안길을 오로지 걸어야만 볼 수 있는 최고의 해안 경관으로 꼽힌다. 마라도와 가파도를 가까이 볼 수 있고 산방산과 오름 군락, 비단처럼 펼쳐진 한라산의 비경도 감상할 수 있다.",https://www.jejuolle.org/trail/images/mainmap/m_map_c10.png,https://www.jejuolle.org/trail/kor/images/sub_course/sub_map_10.jpg,https://www.jejuolle.org/trail/kor/images/sub_course/sub_vmap_10.jpg
