,date,category,price
0,2021-12-23,매출액,3201924
1,2021-12-23,매출원가,2425700
2,2021-12-23,매출총이익,776224
3,2021-12-23,매출액,1400493
4,2021-12-23,매출원가,1060980
5,2021-12-23,매출총이익,339513
6,2021-12-23,매출액,1217113
7,2021-12-23,매출원가,922056
8,2021-12-23,매출총이익,295057
9,2021-12-23,매출액,761216
10,2021-12-23,매출원가,576679
11,2021-12-23,매출총이익,184537
12,2021-01-12,매출액,2304234
13,2021-01-12,매출원가,1745632
14,2021-01-12,매출총이익,558602
15,2021-01-31,매출액,770066
16,2021-01-31,매출원가,583384
17,2021-01-31,매출총이익,186682
18,2021-02-02,매출액,1228909
19,2021-02-02,매출원가,930992
20,2021-02-02,매출총이익,297917
21,2021-03-02,매출액,1463056
22,2021-03-02,매출원가,1108376
23,2021-03-02,매출총이익,354680
