,reg_date,people,day,price,tax,subtotal,fees,total_price,jeju_schedule_id
0,2021-04-01,2,5,759165,75916,835081,167016,1002097,2
1,2021-12-01,2,5,695200,69520,764720,152944,917664,3
2,2021-11-30,2,5,551530,55153,606683,121336,728019,4
3,2021-11-16,2,5,1282800,128280,1411080,282216,1693296,5
4,2021-11-01,3,2,659280,65928,725208,145041,870249,6
5,2021-11-02,3,2,684100,68410,752510,150502,903012,7
6,2021-10-30,3,2,675340,67534,742874,148574,891448,8
7,2021-12-01,5,4,951000,95100,1046100,209220,1255320,9
8,2021-12-02,2,3,404388,40438,444826,88965,533792,10
9,2021-09-28,4,3,538218,53821,592039,118407,710447,11
10,2021-08-10,3,3,419822,41982,461804,92360,554165,12
11,2021-08-02,3,4,479772,47977,527749,105549,633299,13
12,2021-08-20,3,5,602110,60211,662321,132464,794785,14
13,2021-10-26,3,5,498265,49826,548091,109618,657709,15
14,2021-10-27,3,4,861056,86105,947161,189432,1136593,16
15,2021-12-16,2,4,818784,81878,900662,180132,1080794,17
16,2021-10-16,3,5,928850,92885,1021735,204347,1226082,18
17,2021-11-02,4,3,829922,82992,912914,182582,1095497,19
