,date,category,price
0,2021-04-08,판매비와관리비,95090
1,2021-09-10,지급수수료,449709
2,2021-08-04,기타비용,488448
3,2021-12-19,금융비용,948778
4,2021-09-11,기타수익,864116
5,2021-07-08,금융수익,803564
6,2021-04-28,판매비와관리비,575208
7,2021-12-13,지급수수료,359232
8,2021-12-24,기타비용,34916
9,2021-01-02,금융비용,984743
10,2021-06-22,기타수익,221942
11,2021-04-22,금융수익,865372
12,2021-10-20,판매비와관리비,388341
13,2021-02-08,지급수수료,557440
14,2021-03-17,기타비용,315649
15,2021-09-16,금융비용,22416
16,2021-10-03,기타수익,650554
17,2021-10-02,금융수익,669662
18,2021-10-15,판매비와관리비,928809
19,2021-05-16,지급수수료,526155
20,2021-08-23,기타비용,167055
21,2021-01-19,금융비용,557843
22,2021-01-14,기타수익,540695
23,2021-03-11,금융수익,430051
24,2021-11-07,판매비와관리비,614899
25,2021-04-25,지급수수료,324101
26,2021-11-19,기타비용,156159
27,2021-11-01,금융비용,172910
28,2021-02-01,기타수익,158443
29,2021-03-07,금융수익,391972
30,2021-12-01,판매비와관리비,987869
31,2021-10-02,지급수수료,741042
32,2021-07-21,기타비용,973941
33,2021-07-04,금융비용,360521
34,2021-09-16,기타수익,269971
35,2021-11-01,금융수익,564338
36,2021-06-04,판매비와관리비,960281
37,2021-07-08,지급수수료,284669
38,2021-01-27,기타비용,619591
39,2021-11-13,금융비용,842545
40,2021-10-26,기타수익,723960
41,2021-11-06,금융수익,459408
42,2021-04-28,판매비와관리비,607904
43,2021-05-03,지급수수료,454535
44,2021-10-14,기타비용,13155
45,2021-09-09,금융비용,312415
46,2021-06-10,기타수익,434061
47,2021-02-06,금융수익,207356
48,2021-10-04,판매비와관리비,858588
49,2021-09-15,지급수수료,38380
50,2021-06-17,기타비용,522311
51,2021-06-11,금융비용,22298
52,2021-10-13,기타수익,401733
53,2021-04-17,금융수익,480328
54,2021-03-26,판매비와관리비,371259
55,2021-02-12,지급수수료,809653
56,2021-07-13,기타비용,65419
57,2021-09-13,금융비용,390068
58,2021-09-15,기타수익,805575
59,2021-03-11,금융수익,648392
60,2021-04-21,판매비와관리비,945311
61,2021-09-22,지급수수료,840114
62,2021-07-15,기타비용,859502
63,2021-04-24,금융비용,490709
64,2021-12-22,기타수익,447868
65,2021-12-10,금융수익,898753
66,2021-09-10,판매비와관리비,29984
67,2021-05-09,지급수수료,135377
68,2021-01-09,기타비용,369491
69,2021-03-12,금융비용,778708
70,2021-05-13,기타수익,356042
71,2021-06-05,금융수익,343361
72,2021-02-05,판매비와관리비,662102
73,2021-02-13,지급수수료,303706
74,2021-04-19,기타비용,730605
75,2021-09-12,금융비용,174476
76,2021-06-06,기타수익,937670
77,2021-01-02,금융수익,119923
78,2021-11-15,판매비와관리비,387514
79,2021-11-14,지급수수료,996166
80,2021-06-11,기타비용,549174
81,2021-08-19,금융비용,260501
82,2021-06-27,기타수익,248624
83,2021-09-24,금융수익,251182
84,2021-04-27,판매비와관리비,985244
85,2021-06-01,지급수수료,105383
86,2021-04-09,기타비용,99982
87,2021-01-20,금융비용,311540
88,2021-10-27,기타수익,10285
89,2021-07-20,금융수익,871566
90,2021-09-21,판매비와관리비,317371
91,2021-11-05,지급수수료,154627
92,2021-12-05,기타비용,106398
93,2021-08-26,금융비용,846325
94,2021-08-09,기타수익,461563
95,2021-11-08,금융수익,580581
96,2021-06-13,판매비와관리비,248643
97,2021-09-01,지급수수료,352429
98,2021-06-25,기타비용,387361
99,2021-07-07,금융비용,611977
100,2021-09-01,기타수익,410985
101,2021-02-11,금융수익,800240
102,2021-06-04,판매비와관리비,454991
103,2021-09-09,지급수수료,24677
104,2021-03-01,기타비용,735497
105,2021-07-11,금융비용,141389
106,2021-12-08,기타수익,538450
107,2021-03-13,금융수익,616892
108,2021-06-14,판매비와관리비,565094
109,2021-05-08,지급수수료,154924
110,2021-01-28,기타비용,766828
111,2021-08-21,금융비용,326583
112,2021-03-28,기타수익,240161
113,2021-09-02,금융수익,69241
