,date,category,price
0,2021-08-11,판매비와관리비,182604
1,2021-05-25,지급수수료,96276
2,2021-07-08,기타비용,275150
3,2021-05-20,금융비용,402766
4,2021-09-02,기타수익,73866
5,2021-09-15,금융수익,461738
6,2021-10-25,판매비와관리비,141360
7,2021-09-16,지급수수료,214056
8,2021-08-19,기타비용,420295
9,2021-02-18,금융비용,29617
10,2021-09-18,기타수익,154988
11,2021-12-26,금융수익,266860
12,2021-11-05,판매비와관리비,417014
13,2021-02-07,지급수수료,474943
14,2021-06-17,기타비용,406504
15,2021-03-01,금융비용,229249
16,2021-01-06,기타수익,213998
17,2021-04-14,금융수익,240515
18,2021-08-19,판매비와관리비,105893
19,2021-07-09,지급수수료,222021
20,2021-04-05,기타비용,232542
21,2021-12-11,금융비용,290022
22,2021-01-20,기타수익,343829
23,2021-09-06,금융수익,465335
24,2021-04-13,판매비와관리비,484718
25,2021-02-06,지급수수료,469949
26,2021-04-25,기타비용,14859
27,2021-12-07,금융비용,107116
28,2021-09-24,기타수익,333639
29,2021-07-26,금융수익,293868
30,2021-12-22,판매비와관리비,29402
31,2021-09-22,지급수수료,450367
32,2021-11-13,기타비용,79283
33,2021-11-20,금융비용,449002
34,2021-05-13,기타수익,321050
35,2021-12-22,금융수익,311969
36,2021-06-17,판매비와관리비,405111
37,2021-06-26,지급수수료,109853
38,2021-01-23,기타비용,154074
39,2021-02-21,금융비용,66580
40,2021-01-13,기타수익,134362
41,2021-12-26,금융수익,317700
42,2021-02-17,판매비와관리비,321346
43,2021-06-24,지급수수료,23460
44,2021-01-15,기타비용,92623
45,2021-09-14,금융비용,277762
46,2021-01-21,기타수익,387772
47,2021-02-07,금융수익,453041
48,2021-03-24,판매비와관리비,15478
49,2021-03-15,지급수수료,301897
50,2021-11-18,기타비용,115774
51,2021-06-01,금융비용,272327
52,2021-07-07,기타수익,350466
53,2021-03-01,금융수익,382926
54,2021-06-03,판매비와관리비,172301
55,2021-03-14,지급수수료,23473
56,2021-04-13,기타비용,414092
57,2021-07-01,금융비용,290298
58,2021-03-18,기타수익,450382
59,2021-12-22,금융수익,320860
60,2021-01-23,판매비와관리비,327968
61,2021-11-27,지급수수료,250327
62,2021-12-06,기타비용,437088
63,2021-04-01,금융비용,97328
64,2021-03-03,기타수익,60072
65,2021-01-21,금융수익,328352
66,2021-03-11,판매비와관리비,332931
67,2021-06-24,지급수수료,37644
68,2021-05-15,기타비용,241553
69,2021-04-06,금융비용,243130
70,2021-05-26,기타수익,311145
71,2021-04-13,금융수익,105938
72,2021-11-22,판매비와관리비,471582
73,2021-06-23,지급수수료,344979
74,2021-09-19,기타비용,354661
75,2021-10-25,금융비용,202945
76,2021-02-15,기타수익,138679
77,2021-08-16,금융수익,175962
78,2021-09-25,판매비와관리비,14331
79,2021-08-24,지급수수료,255794
80,2021-08-06,기타비용,33280
81,2021-06-16,금융비용,306364
82,2021-05-10,기타수익,184678
83,2021-12-28,금융수익,46711
84,2021-07-25,판매비와관리비,46099
85,2021-10-27,지급수수료,118778
86,2021-10-05,기타비용,225175
87,2021-10-16,금융비용,427050
88,2021-09-04,기타수익,471617
89,2021-07-11,금융수익,496138
90,2021-03-03,판매비와관리비,290839
91,2021-01-04,지급수수료,219055
92,2021-09-28,기타비용,103859
93,2021-09-11,금융비용,439437
94,2021-12-27,기타수익,463711
95,2021-05-05,금융수익,33568
96,2021-10-20,판매비와관리비,465504
97,2021-03-17,지급수수료,62030
98,2021-02-05,기타비용,115749
99,2021-10-04,금융비용,279030
100,2021-11-02,기타수익,413685
101,2021-05-04,금융수익,267763
102,2021-03-06,판매비와관리비,176068
103,2021-12-07,지급수수료,363355
104,2021-03-03,기타비용,242214
105,2021-01-07,금융비용,243124
106,2021-03-13,기타수익,252325
107,2021-10-21,금융수익,245871
108,2021-01-15,판매비와관리비,247658
109,2021-12-05,지급수수료,103149
110,2021-02-20,기타비용,262493
111,2021-03-02,금융비용,332691
112,2021-05-02,기타수익,268676
113,2021-11-14,금융수익,143620
114,2021-04-27,판매비와관리비,484911
115,2021-09-22,지급수수료,23850
116,2021-08-10,기타비용,103633
117,2021-01-07,금융비용,276843
118,2021-12-04,기타수익,299936
119,2021-03-21,금융수익,70622
120,2021-02-14,판매비와관리비,199722
121,2021-10-19,지급수수료,417082
122,2021-08-28,기타비용,211696
123,2021-09-02,금융비용,238797
124,2021-10-22,기타수익,30381
125,2021-10-19,금융수익,230583
126,2021-02-05,판매비와관리비,225173
127,2021-11-17,지급수수료,144133
128,2021-06-25,기타비용,256710
129,2021-08-11,금융비용,240890
130,2021-09-06,기타수익,157764
131,2021-12-25,금융수익,62132
132,2021-03-05,판매비와관리비,242648
133,2021-01-12,지급수수료,469714
134,2021-08-23,기타비용,20434
135,2021-10-22,금융비용,107343
136,2021-02-27,기타수익,74409
137,2021-04-16,금융수익,289992
138,2021-05-10,판매비와관리비,126233
139,2021-12-02,지급수수료,137637
140,2021-08-27,기타비용,491524
141,2021-01-26,금융비용,444650
142,2021-11-05,기타수익,380486
143,2021-09-09,금융수익,442299
144,2021-08-10,판매비와관리비,491961
145,2021-09-16,지급수수료,384929
146,2021-11-12,기타비용,46979
147,2021-11-26,금융비용,201578
148,2021-09-08,기타수익,307187
149,2021-09-17,금융수익,186396
150,2021-02-19,판매비와관리비,117157
151,2021-06-18,지급수수료,461864
152,2021-03-09,기타비용,344604
153,2021-08-14,금융비용,360411
154,2021-01-19,기타수익,126569
155,2021-03-23,금융수익,493620
156,2021-10-20,판매비와관리비,120096
157,2021-09-24,지급수수료,204297
158,2021-01-10,기타비용,137869
159,2021-12-16,금융비용,357152
160,2021-03-15,기타수익,322210
161,2021-01-01,금융수익,199478
162,2021-02-16,판매비와관리비,464386
163,2021-09-11,지급수수료,49998
164,2021-02-03,기타비용,308945
165,2021-02-12,금융비용,178660
166,2021-06-28,기타수익,307196
167,2021-06-08,금융수익,263130
168,2021-03-03,판매비와관리비,465047
169,2021-05-16,지급수수료,78352
170,2021-07-09,기타비용,118708
171,2021-12-14,금융비용,269229
172,2021-01-06,기타수익,268466
173,2021-02-20,금융수익,186792
174,2021-10-09,판매비와관리비,36256
175,2021-03-12,지급수수료,465303
176,2021-12-26,기타비용,252601
177,2021-06-03,금융비용,245509
178,2021-10-03,기타수익,448026
179,2021-12-02,금융수익,490540
180,2021-11-22,판매비와관리비,157809
181,2021-07-05,지급수수료,164612
182,2021-12-04,기타비용,314828
183,2021-09-27,금융비용,493645
184,2021-05-10,기타수익,336029
185,2021-04-24,금융수익,285671
186,2021-02-28,판매비와관리비,116925
187,2021-05-19,지급수수료,342227
188,2021-08-19,기타비용,31447
189,2021-09-22,금융비용,154567
190,2021-05-03,기타수익,300784
191,2021-06-06,금융수익,110366
192,2021-01-28,판매비와관리비,424759
193,2021-04-23,지급수수료,14994
194,2021-09-16,기타비용,165497
195,2021-12-27,금융비용,288054
196,2021-07-16,기타수익,345744
