,date,category,price
0,2021-01-01,매출액,3200670
1,2021-01-01,매출원가,2623500
2,2021-01-01,매출총이익,577170
3,2021-01-01,매출액,1542690
4,2021-01-01,매출원가,1264500
5,2021-01-01,매출총이익,278190
6,2021-01-01,매출액,3414780
7,2021-01-01,매출원가,2799000
8,2021-01-01,매출총이익,615780
9,2021-01-01,매출액,3013400
10,2021-01-01,매출원가,2470000
11,2021-01-01,매출총이익,543400
12,2021-01-01,매출액,3249470
13,2021-01-01,매출원가,2663500
14,2021-01-01,매출총이익,585970
15,2021-01-01,매출액,1822172
16,2021-01-01,매출원가,1493584
17,2021-01-01,매출총이익,328588
18,2021-01-01,매출액,1984452
19,2021-01-01,매출원가,1626600
20,2021-01-01,매출총이익,357852
21,2021-01-01,매출액,2234430
22,2021-01-01,매출원가,1831500
23,2021-01-01,매출총이익,402930
24,2021-01-01,매출액,2510394
25,2021-01-01,매출원가,2057700
26,2021-01-01,매출총이익,452694
27,2021-01-01,매출액,3264268
28,2021-01-01,매출원가,2675630
29,2021-01-01,매출총이익,588638
30,2021-01-02,매출액,901824
31,2021-01-02,매출원가,739200
32,2021-01-02,매출총이익,162624
33,2021-01-02,매출액,2086688
34,2021-01-02,매출원가,1710400
35,2021-01-02,매출총이익,376288
36,2021-01-02,매출액,1636996
37,2021-01-02,매출원가,1341800
38,2021-01-02,매출총이익,295196
39,2021-01-02,매출액,921855
40,2021-01-02,매출원가,755619
41,2021-01-02,매출총이익,166236
42,2021-01-02,매출액,2419504
43,2021-01-02,매출원가,1983200
44,2021-01-02,매출총이익,436304
45,2021-01-02,매출액,1761748
46,2021-01-02,매출원가,1444056
47,2021-01-02,매출총이익,317692
48,2021-01-02,매출액,1380832
49,2021-01-02,매출원가,1131830
50,2021-01-02,매출총이익,249002
51,2021-01-02,매출액,1624552
52,2021-01-02,매출원가,1331600
53,2021-01-02,매출총이익,292952
54,2021-01-02,매출액,3617153
55,2021-01-02,매출원가,2964880
56,2021-01-02,매출총이익,652273
57,2021-01-02,매출액,4095296
58,2021-01-02,매출원가,3356800
59,2021-01-02,매출총이익,738496
60,2021-01-03,매출액,2304580
61,2021-01-03,매출원가,1889000
62,2021-01-03,매출총이익,415580
63,2021-01-03,매출액,2717489
64,2021-01-03,매출원가,2227450
65,2021-01-03,매출총이익,490039
66,2021-01-03,매출액,1337631
67,2021-01-03,매출원가,1096419
68,2021-01-03,매출총이익,241212
69,2021-01-03,매출액,1192952
70,2021-01-03,매출원가,977830
71,2021-01-03,매출총이익,215122
72,2021-01-03,매출액,2726029
73,2021-01-03,매출원가,2234450
74,2021-01-03,매출총이익,491579
75,2021-01-03,매출액,3238246
76,2021-01-03,매출원가,2654300
77,2021-01-03,매출총이익,583946
78,2021-01-03,매출액,2469280
79,2021-01-03,매출원가,2024000
80,2021-01-03,매출총이익,445280
81,2021-01-03,매출액,2346260
82,2021-01-03,매출원가,1923164
83,2021-01-03,매출총이익,423096
84,2021-01-03,매출액,781532
85,2021-01-03,매출원가,640600
86,2021-01-03,매출총이익,140932
87,2021-01-03,매출액,1581730
88,2021-01-03,매출원가,1296500
89,2021-01-03,매출총이익,285230
90,2021-01-04,매출액,2866451
91,2021-01-04,매출원가,2349550
92,2021-01-04,매출총이익,516901
93,2021-01-04,매출액,2519544
94,2021-01-04,매출원가,2065200
95,2021-01-04,매출총이익,454344
96,2021-01-04,매출액,1548216
97,2021-01-04,매출원가,1269030
98,2021-01-04,매출총이익,279186
99,2021-01-04,매출액,2852543
100,2021-01-04,매출원가,2338150
101,2021-01-04,매출총이익,514393
102,2021-01-04,매출액,2358260
103,2021-01-04,매출원가,1933000
104,2021-01-04,매출총이익,425260
105,2021-01-04,매출액,992183
106,2021-01-04,매출원가,813265
107,2021-01-04,매출총이익,178918
108,2021-01-04,매출액,1343220
109,2021-01-04,매출원가,1101000
110,2021-01-04,매출총이익,242220
111,2021-01-04,매출액,2725236
112,2021-01-04,매출원가,2233800
113,2021-01-04,매출총이익,491436
114,2021-01-04,매출액,878873
115,2021-01-04,매출원가,720388
116,2021-01-04,매출총이익,158485
117,2021-01-04,매출액,1651880
118,2021-01-04,매출원가,1354000
119,2021-01-04,매출총이익,297880
120,2021-01-05,매출액,1944436
121,2021-01-05,매출원가,1593800
122,2021-01-05,매출총이익,350636
123,2021-01-05,매출액,967874
124,2021-01-05,매출원가,793340
125,2021-01-05,매출총이익,174534
126,2021-01-05,매출액,1546899
127,2021-01-05,매출원가,1267950
128,2021-01-05,매출총이익,278949
129,2021-01-05,매출액,1439092
130,2021-01-05,매출원가,1179584
131,2021-01-05,매출총이익,259508
132,2021-01-05,매출액,1580983
133,2021-01-05,매출원가,1295888
134,2021-01-05,매출총이익,285095
135,2021-01-05,매출액,1394460
136,2021-01-05,매출원가,1143000
137,2021-01-05,매출총이익,251460
138,2021-01-05,매출액,2524912
139,2021-01-05,매출원가,2069600
140,2021-01-05,매출총이익,455312
141,2021-01-05,매출액,3923520
142,2021-01-05,매출원가,3216000
143,2021-01-05,매출총이익,707520
144,2021-01-05,매출액,1445492
145,2021-01-05,매출원가,1184830
146,2021-01-05,매출총이익,260662
147,2021-01-05,매출액,3206648
148,2021-01-05,매출원가,2628400
149,2021-01-05,매출총이익,578248
150,2021-01-06,매출액,2325734
151,2021-01-06,매출원가,1906340
152,2021-01-06,매출총이익,419394
153,2021-01-06,매출액,2463180
154,2021-01-06,매출원가,2019000
155,2021-01-06,매출총이익,444180
156,2021-01-06,매출액,3510164
157,2021-01-06,매출원가,2877184
158,2021-01-06,매출총이익,632980
159,2021-01-06,매출액,1961794
160,2021-01-06,매출원가,1608028
161,2021-01-06,매출총이익,353766
162,2021-01-06,매출액,1302752
163,2021-01-06,매출원가,1067830
164,2021-01-06,매출총이익,234922
165,2021-01-06,매출액,1141998
166,2021-01-06,매출원가,936064
167,2021-01-06,매출총이익,205934
168,2021-01-06,매출액,1453508
169,2021-01-06,매출원가,1191400
170,2021-01-06,매출총이익,262108
