id,reg_date,user,day,people,plane,acc,activity
43,2021-01-01,169,4,5,"32,142",1,"1,6,29"
44,2021-01-01,168,3,5,"4,156",3,"24,23,30"
45,2021-01-01,98,5,5,"42,190",7,"18,19,20,21,4"
46,2021-01-01,116,4,5,"180,192",5,"6,10,12,18"
47,2021-01-01,87,3,8,"8,79",7,"28,20,19"
48,2021-01-01,51,4,3,"123,178",18,"17,19,31"
49,2021-01-01,82,4,2,"3,78",5,"6,5,11,13"
50,2021-01-01,83,3,6,"172,220",7,"25,29"
51,2021-01-01,44,3,4,"189,230",8,"11,15,13"
52,2021-01-01,86,5,7,"28,150",4,"14,18,28,31"
53,2021-01-02,2,3,2,"145,151",3,"3,5,28"
54,2021-01-02,42,5,2,"4,62",5,"30,31,4,7"
55,2021-01-02,99,4,2,"160,187",5,"1,6,29"
56,2021-01-02,117,3,2,"172,220",2,"24,23,30"
57,2021-01-02,88,5,3,"9,126",8,"15,17,28,30,16"
58,2021-01-02,52,4,4,"189,230",17,"30,16,28"
59,2021-01-02,83,5,3,"32,142",4,"27,23,25,1"
60,2021-01-02,84,4,1,"277,256",5,"11,10,2,9"
61,2021-01-02,45,4,7,"230,277",9,"15,16,9,21"
62,2021-01-02,87,4,8,"153,167",3,"2,9,19,20"
63,2021-01-03,3,5,3,"28,150",5,"13,18,26,24"
64,2021-01-03,43,5,3,"3,78",6,"31,19,18,10,9"
65,2021-01-03,100,3,3,"3,135",2,"3,5,28"
66,2021-01-03,118,5,3,"277,256",12,"30,31,4,7"
67,2021-01-03,89,5,4,"8,52",9,"18,19,20,21,4"
68,2021-01-03,53,3,7,"230,277",1,"28,20,19"
69,2021-01-03,84,5,4,"145,151",3,"9,8,12,14,21"
70,2021-01-03,85,4,5,"42,190",4,"9,4,3,15"
71,2021-01-03,46,4,1,"156,48",10,"21,31,30"
72,2021-01-03,88,2,3,"142,162",5,"12,11"
73,2021-01-04,4,5,4,"153,167",6,"14,18,28,31"
74,2021-01-04,44,4,4,"28,150",8,"18,19,21,23"
75,2021-01-04,101,5,4,"9,182",12,"13,18,26,24"
76,2021-01-04,119,5,4,"42,190",19,"31,19,18,10,9"
77,2021-01-04,90,4,6,"9,162",10,"1,6,29"
78,2021-01-04,54,5,1,"156,48",2,"15,17,28,30,16"
79,2021-01-04,85,3,2,"28,150",5,"21,23,24"
80,2021-01-04,86,4,7,"160,187",3,"18,19,21,25"
81,2021-01-04,47,3,2,"48,79",11,"26,27,18"
82,2021-01-04,89,3,4,"180,192",5,"23,26,27"
83,2021-01-05,5,4,2,"142,162",8,"2,9,19,20"
84,2021-01-05,45,2,2,"153,167",9,"22,24"
85,2021-01-05,102,5,2,"9,210",19,"14,18,28,31"
86,2021-01-05,120,4,2,"160,187",18,"18,19,21,23"
87,2021-01-05,91,3,5,"4,156",11,"3,5,28"
88,2021-01-05,55,5,2,"48,79",3,"18,19,20,21,4"
89,2021-01-05,86,2,6,"153,167",5,"7,6"
90,2021-01-05,87,5,8,"3,135",5,"25,29,31,12"
91,2021-01-05,48,5,3,"65,45",12,"18,4,5,6,19"
92,2021-01-05,90,4,6,"172,220",1,"28,29,6"
93,2021-01-06,6,2,6,"180,192",9,"12,11"
94,2021-01-06,46,3,6,"142,162",1,"25,29"
95,2021-01-06,103,4,6,"8,79",18,"2,9,19,20"
96,2021-01-06,121,2,6,"3,135",17,"22,24"
97,2021-01-06,92,5,3,"4,62",12,"13,18,26,24"
98,2021-01-06,56,4,3,"65,45",4,"1,6,29"
99,2021-01-06,87,3,1,"142,162",1,"15,19,24"
100,2021-01-06,88,5,3,"9,182",5,"7,6,15,18,29"
101,2021-01-06,49,5,5,"43,82",13,"19,21,25,26"
102,2021-01-06,91,4,5,"277,256",3,"16,14,13,6"
103,2021-01-07,7,3,1,"172,220",1,"23,26,27"
104,2021-01-07,47,4,1,"180,192",7,"11,10,2,9"
105,2021-01-07,104,2,1,"9,126",17,"12,11"
106,2021-01-07,122,3,1,"9,182",1,"25,29"
107,2021-01-07,93,5,4,"3,78",13,"14,18,28,31"
108,2021-01-07,57,3,5,"43,82",5,"3,5,28"
109,2021-01-07,88,4,5,"180,192",3,"26,27,28,5"
110,2021-01-07,89,3,4,"9,210",1,"25,24,13"
111,2021-01-07,50,4,6,"81,46",14,"26,28,29,15"
112,2021-01-07,92,4,3,"42,190",5,"6,5,11,13"
113,2021-01-08,8,4,5,"277,256",7,"28,29,6"
114,2021-01-08,48,4,5,"172,220",5,"9,4,3,15"
115,2021-01-08,105,3,5,"8,52",1,"23,26,27"
116,2021-01-08,123,4,5,"9,210",2,"11,10,2,9"
117,2021-01-08,94,4,7,"32,142",14,"2,9,19,20"
118,2021-01-08,58,5,6,"81,46",6,"13,18,26,24"
119,2021-01-08,89,4,7,"172,220",5,"6,10,12,18"
120,2021-01-08,90,2,6,"8,79",3,"11,12"
121,2021-01-08,51,2,7,"32,142",15,"1,5"
122,2021-01-08,93,5,4,"160,187",6,"27,23,25,1"
123,2021-01-09,9,4,7,"42,190",5,"16,14,13,6"
124,2021-01-09,49,4,7,"277,256",2,"18,19,21,25"
125,2021-01-09,106,4,7,"9,162",2,"28,29,6"
126,2021-01-09,124,4,7,"8,79",3,"9,4,3,15"
127,2021-01-09,95,2,1,"145,151",15,"12,11"
128,2021-01-09,59,5,7,"32,142",7,"14,18,28,31"
129,2021-01-09,90,3,8,"277,256",6,"24,23,30"
130,2021-01-09,91,3,5,"9,126",5,"5,7,8"
131,2021-01-09,52,3,5,"145,151",16,"1,6,9"
132,2021-01-09,94,5,7,"3,135",8,"9,8,12,14,21"
133,2021-01-10,10,4,8,"160,187",2,"6,5,11,13"
134,2021-01-10,50,5,5,"42,190",12,"25,29,31,12"
135,2021-01-10,107,4,8,"4,156",3,"16,14,13,6"
136,2021-01-10,125,4,5,"9,126",4,"18,19,21,25"
137,2021-01-10,96,3,2,"28,150",16,"23,26,27"
138,2021-01-10,60,4,5,"145,151",8,"2,9,19,20"
139,2021-01-10,91,5,3,"42,190",8,"30,31,4,7"
140,2021-01-10,92,4,3,"8,52",6,"4,6,13,19"
141,2021-01-10,53,4,2,"28,150",17,"9,8,4,1"
142,2021-01-10,95,3,1,"9,182",9,"21,23,24"
143,2021-01-11,11,5,3,"3,135",12,"27,23,25,1"
144,2021-01-11,51,5,2,"160,187",19,"7,6,15,18,29"
145,2021-01-11,108,4,3,"4,62",4,"6,5,11,13"
146,2021-01-11,126,5,2,"8,52",5,"25,29,31,12"
147,2021-01-11,97,4,3,"153,167",17,"28,29,6"
148,2021-01-11,61,2,2,"28,150",9,"12,11"
149,2021-01-11,92,5,4,"160,187",9,"31,19,18,10,9"
150,2021-01-11,93,4,4,"9,162",8,"18,17,2"
151,2021-01-11,54,4,5,"153,167",18,"1,3,8,18"
152,2021-01-11,96,2,2,"9,210",1,"7,6"
153,2021-01-12,12,5,4,"9,182",19,"9,8,12,14,21"
154,2021-01-12,52,3,3,"3,135",18,"25,24,13"
155,2021-01-12,109,5,4,"3,78",5,"27,23,25,1"
156,2021-01-12,127,5,3,"9,162",6,"7,6,15,18,29"
157,2021-01-12,98,4,5,"142,162",18,"16,14,13,6"
158,2021-01-12,62,3,5,"153,167",10,"23,26,27"
159,2021-01-12,93,4,6,"3,135",1,"18,19,21,23"
160,2021-01-12,94,3,7,"4,156",9,"1,5,17"
161,2021-01-12,55,4,7,"142,162",19,"18,17,2"
162,2021-01-12,97,3,3,"8,79",7,"15,19,24"
